"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"   433 Eros (A898 PA)",AMO,0.2228,1.458,10.83,304.27,178.93,310.55,643,0.148,57.7,N,10.39,16.84,0.25,5.27,2461000.5
"   719 Albert (A911 TB)",AMO,0.5466,2.637,11.57,183.86,156.19,240.61,1.56e+03,0.201,78.3,N,15.59,,,5.801,2461000.5
"   887 Alinda (A918 AA)",AMO,0.5712,2.474,9.40,110.41,350.53,81.54,1.42e+03,0.0797,31,N,13.81,4.2,0.31,28.41,2461000.5
"  1036 Ganymed (A924 UB)",AMO,0.5332,2.665,26.68,215.44,132.50,97.59,1.59e+03,0.343,134,N,9.18,37.675,0.238,10.297,2461000.5
"  1221 Amor (1932 EA1)",AMO,0.4346,1.92,11.87,171.24,26.76,59.87,972,0.108,42,N,17.37,1.0,,,2461000.5
"  1566 Icarus (1949 MA)",APO,0.8270,1.078,22.80,87.95,31.44,153.08,409,0.0335,13,Y,16.53,1.0,0.51,2.2726,2461000.5
"  1580 Betulia (1950 KA)",AMO,0.4876,2.195,52.19,62.22,159.72,80.27,1.19e+03,0.132,51.6,N,14.61,5.8,0.08,6.1324,2461000.5
"  1620 Geographos (1951 RA)",APO,0.3355,1.246,13.34,337.14,277.02,212.92,508,0.0294,11.4,Y,15.27,2.56,0.290,5.22204,2461000.5
"  1627 Ivar (1929 SH)",AMO,0.3973,1.863,8.46,133.07,167.84,311.46,929,0.109,42.5,N,12.79,9.12,0.15,4.795,2461000.5
"  1685 Toro (1948 OA)",APO,0.4360,1.368,9.38,274.21,127.28,82.68,584,0.0511,19.9,N,14.28,3.4,0.31,10.1995,2461000.5
"  1862 Apollo (1932 HA)",APO,0.5599,1.471,6.35,35.54,286.05,113.88,652,0.026,10.1,Y,16.08,1.5,0.25,3.065,2461000.5
"  1863 Antinous (1948 EA)",APO,0.6063,2.26,18.38,345.55,269.07,289.56,1.24e+03,0.187,72.9,N,15.46,2.1,0.24,7.453,2461000.5
"  1864 Daedalus (1971 FA)",APO,0.6144,1.461,22.22,6.60,325.66,257.57,645,0.269,105,N,14.84,3.7,0.273,8.572,2461000.5
"  1865 Cerberus (1971 UA)",APO,0.4669,1.08,16.10,212.88,325.29,319.67,410,0.157,60.9,N,16.79,1.2,0.22,6.8039,2461000.5
"  1866 Sisyphus (1972 XA)",APO,0.5381,1.893,41.21,63.45,293.10,140.66,952,0.104,40.3,N,12.48,8.48,0.15,2.4,2461000.5
"  1915 Quetzalcoatl (1953 EA)",AMO,0.5702,2.545,20.40,162.92,347.76,21.62,1.48e+03,0.109,42.4,N,18.38,0.5,0.21,4.9,2461000.5
"  1916 Boreas (1953 RA)",AMO,0.4492,2.273,12.88,340.60,335.85,35.11,1.25e+03,0.252,98.2,N,14.92,3.5,,3.4746,2461000.5
"  1917 Cuyo (1968 AA)",AMO,0.5055,2.149,23.96,188.27,194.55,160.09,1.15e+03,0.0717,27.9,N,14.38,5.7,0.195,2.689,2461000.5
"  1943 Anteros (1973 EC)",AMO,0.2559,1.431,8.71,246.29,338.44,260.37,625,0.0609,23.7,N,15.69,2.3,0.17,2.86923,2461000.5
"  1980 Tezcatlipoca (1950 LA)",AMO,0.3647,1.709,26.87,246.54,115.47,211.50,816,0.245,95.4,N,13.81,4.3,0.25,7.24612,2461000.5
"  1981 Midas (1973 EA)",APO,0.6505,1.776,39.82,356.79,267.84,65.35,865,0.00277,1.08,Y,15.25,3.4,,5.22,2461000.5
"  2059 Baboquivari (1963 UA)",AMO,0.5316,2.642,11.02,200.69,192.46,143.16,1.57e+03,0.245,95.4,N,15.98,,,129.47,2461000.5
"  2061 Anza (1960 UA)",AMO,0.5356,2.265,3.80,207.35,157.11,38.89,1.25e+03,0.0558,21.7,N,16.70,2.6,,6.712,2461000.5
"  2062 Aten (1976 AA)",ATE,0.1829,0.967,18.94,108.53,148.08,32.64,347,0.113,44,N,17.11,1.1,0.26,42.15,2461000.5
"  2063 Bacchus (1977 HB)",APO,0.3494,1.078,9.43,33.04,55.35,234.79,409,0.0667,26,N,17.21,1.024,0.203,14.904,2461000.5
"  2100 Ra-Shalom (1978 RA)",ATE,0.4365,0.832,15.76,170.76,356.08,249.11,277,0.15,58.3,N,16.25,2.3,0.13,19.797,2461000.5
"  2101 Adonis (1936 CA)",APO,0.7641,1.874,1.32,349.41,43.71,24.48,937,0.0115,4.48,Y,18.69,0.6,,,2461000.5
"  2102 Tantalus (1975 YA)",APO,0.2994,1.29,64.01,94.35,61.50,347.36,535,0.0426,16.6,Y,16.00,1.649,0.245,2.384,2461000.5
"  2135 Aristaeus (1977 HA)",APO,0.5031,1.6,23.07,191.11,290.98,37.18,739,0.00853,3.32,Y,18.05,,,,2461000.5
"  2201 Oljato (1947 XC)",APO,0.7107,2.179,2.52,74.86,98.37,97.01,1.17e+03,0.00278,1.08,Y,15.32,1.80,0.4328,26,2461000.5
"  2202 Pele (1972 RA)",AMO,0.5129,2.291,8.74,169.90,217.97,109.59,1.27e+03,0.143,55.7,N,16.98,,,,2461000.5
"  2212 Hephaistos (1978 SB)",APO,0.8347,2.168,11.20,26.57,210.46,308.24,1.17e+03,0.112,43.6,N,13.50,5.7,0.163,48,2461000.5
"  2329 Orthos (1976 WA)",APO,0.6533,2.411,24.46,169.25,146.11,71.29,1.37e+03,0.0936,36.4,N,14.58,,,4.6473,2461000.5
"  2340 Hathor (1976 UA)",ATE,0.4499,0.8439,5.86,211.28,40.12,201.98,283,0.00663,2.58,Y,20.43,0.3,,3.35,2461000.5
"  2368 Beltrovata (1977 RA)",AMO,0.4134,2.105,5.22,287.29,43.05,287.81,1.12e+03,0.231,90.1,N,15.15,2.3,0.27,5.786,2461000.5
"  2608 Seneca (1978 DA)",AMO,0.5647,2.53,14.43,166.42,38.71,10.72,1.47e+03,0.153,59.6,N,17.48,0.9,0.21,8,2461000.5
"  3102 Krok (1981 QA)",AMO,0.4492,2.151,8.44,172.05,154.75,6.75,1.15e+03,0.183,71.3,N,16.16,1.6,,149.4,2461000.5
"  3103 Eger (1982 BB)",APO,0.3542,1.404,20.93,129.73,254.10,181.12,608,0.0786,30.6,N,15.30,1.5,0.64,5.7103,2461000.5
"  3122 Florence (1981 ET3)",AMO,0.4232,1.769,22.14,336.04,27.88,168.26,859,0.0436,17,Y,14.08,4.9,0.231,2.3581,2461000.5
"  3199 Nefertiti (1982 RA)",AMO,0.2841,1.575,32.96,339.97,53.44,278.49,722,0.215,83.8,N,14.99,2.2,0.42,3.021,2461000.5
"  3200 Phaethon (1983 TB)",APO,0.8897,1.271,22.31,265.10,322.31,163.98,524,0.0187,7.28,Y,14.39,6.25,0.1066,3.604,2461000.5
"  3271 Ul (1982 RB)",AMO,0.3955,2.102,25.07,158.80,159.10,73.99,1.11e+03,0.276,107,N,16.57,,,,2461000.5
"  3288 Seleucus (1982 DV)",AMO,0.4545,2.034,5.93,218.58,349.40,16.88,1.06e+03,0.105,40.7,N,15.34,2.8,0.22,75,2461000.5
"  3352 McAuliffe (1981 CW)",AMO,0.3691,1.879,4.77,107.33,16.10,140.89,941,0.202,78.7,N,15.93,,,2.206,2461000.5
"  3360 Syrinx (1981 VA)",APO,0.7474,2.466,21.07,242.24,63.71,151.22,1.41e+03,0.11,42.8,N,16.04,1.8,0.17,,2461000.5
"  3361 Orpheus (1982 HR)",APO,0.3232,1.21,2.65,188.44,302.65,320.55,486,0.0146,5.7,Y,19.56,0.3,0.357,3.5327,2461000.5
"  3362 Khufu (1984 QA)",ATE,0.4685,0.9895,9.92,152.40,55.09,40.38,360,0.013,5.06,Y,18.52,0.7,0.21,,2461000.5
"  3551 Verenia (1983 RD)",AMO,0.4868,2.093,9.51,173.77,193.30,333.30,1.11e+03,0.0749,29.2,N,16.72,0.9,0.37,4.93,2461000.5
"  3552 Don Quixote (1983 SA)",AMO,0.7073,4.27,31.05,349.97,316.49,308.26,3.22e+03,0.342,133,N,13.04,19.0,0.03,6.665,2461000.5
"  3553 Mera (1985 JA)",AMO,0.3200,1.645,36.77,232.49,288.90,116.62,770,0.293,114,N,16.40,,,3.1944,2461000.5
"  3554 Amun (1986 EB)",ATE,0.2806,0.974,23.36,358.60,359.41,276.71,351,0.25,97.2,N,15.91,3.341,0.074,2.53001,2461000.5
"  3671 Dionysus (1984 KD)",APO,0.5438,2.197,13.53,82.02,204.43,252.10,1.19e+03,0.015,5.83,Y,16.49,1.5,0.16,2.7053,2461000.5
"  3691 Bede (1982 FT)",AMO,0.2845,1.774,20.35,348.69,235.06,151.90,863,0.35,136,N,14.93,4.3,0.515,226.8,2461000.5
"  3752 Camillo (1985 PA)",APO,0.3015,1.414,55.56,147.95,312.23,243.34,614,0.0778,30.3,N,15.15,2.306,0.210,37.846,2461000.5
"  3753 Cruithne (1986 TO)",ATE,0.5149,0.9978,19.80,126.19,43.88,344.36,364,0.0703,27.4,N,15.44,2.071,0.365,27.3099,2461000.5
"  3757 Anagolay (1982 XB)",APO,0.4459,1.835,3.87,74.93,17.24,92.37,908,0.0366,14.3,Y,19.01,0.5,0.18,9.012,2461000.5
"  3838 Epona (1986 WA)",APO,0.7027,1.505,29.20,235.46,49.73,79.35,674,0.159,61.9,N,15.63,,,2.3812,2461000.5
"  3908 Nyx (1980 PA)",AMO,0.4590,1.928,2.19,261.19,126.66,312.97,978,0.0567,22.1,N,17.45,1.0,0.23,4.42601,2461000.5
"  3988 Huma (1986 LA)",AMO,0.3167,1.545,10.77,229.78,86.96,161.68,701,0.177,68.9,N,17.94,0.7,,10.53,2461000.5
"  4015 Wilson-Harrington (1979 VA)",APO,0.6309,2.626,2.80,266.72,95.52,274.40,1.55e+03,0.043,16.7,Y,16.19,4,0.05,3.5736,2461000.5
"  4034 Vishnu (1986 PA)",APO,0.4440,1.059,11.17,157.86,296.70,261.95,398,0.0191,7.44,Y,18.49,0.42,0.52,44.4,2461000.5
"  4055 Magellan (1985 DO2)",AMO,0.3260,1.82,23.25,164.81,154.38,67.87,897,0.239,93,N,14.93,2.49,0.31,7.475,2461000.5
"  4179 Toutatis (1989 AC)",APO,0.6247,2.543,0.45,125.37,277.86,76.89,1.48e+03,0.00651,2.54,Y,15.29,5.4,0.405,176.,2461000.5
"  4183 Cuno (1959 LM)",APO,0.6362,1.981,6.67,294.35,237.02,317.37,1.02e+03,0.0284,11,Y,14.16,3.651,0.097,3.5595,2461000.5
"  4197 Morpheus (1982 TA)",APO,0.7725,2.295,12.60,6.98,122.58,110.47,1.27e+03,0.0985,38.3,N,14.97,1.8,0.37,3.538,2461000.5
"  4257 Ubasti (1987 QA)",APO,0.4684,1.647,40.72,169.14,278.96,347.43,772,0.169,65.7,N,15.98,,,4.4,2461000.5
"  4341 Poseidon (1987 KF)",APO,0.6801,1.834,11.84,108.02,15.83,202.70,907,0.194,75.5,N,16.08,3.177,0.054,6.262,2461000.5
"  4401 Aditi (1985 TB)",AMO,0.5634,2.584,26.62,22.75,68.19,228.35,1.52e+03,0.335,130,N,16.12,1.801,0.343,6.67,2461000.5
"  4450 Pan (1987 SY)",APO,0.5866,1.442,5.52,311.67,292.00,59.71,633,0.0287,11.2,Y,17.28,,,56.48,2461000.5
"  4486 Mithra (1987 SB)",APO,0.6600,2.206,3.03,82.18,169.26,276.29,1.2e+03,0.0459,17.9,Y,15.61,1.849,0.297,67.5,2461000.5
"  4487 Pocahontas (1987 UA)",AMO,0.2965,1.73,16.41,198.10,173.97,269.08,831,0.219,85.2,N,17.48,,,,2461000.5
"  4503 Cleobulus (1989 WM)",AMO,0.5248,2.704,2.51,45.94,76.24,16.50,1.62e+03,0.304,118,N,15.82,,,2.8164,2461000.5
"  4544 Xanthus (1989 FB)",APO,0.2501,1.042,14.14,23.94,333.84,5.14,389,0.173,67.5,N,17.37,1.3,,37.65,2461000.5
"  4581 Asclepius (1989 FC)",APO,0.3569,1.023,4.92,180.20,255.39,233.38,378,0.00385,1.5,Y,20.74,,,8.008,2461000.5
"  4596 (1981 QB)",AMO,0.5200,2.239,37.07,154.18,248.43,47.83,1.22e+03,0.296,115,N,16.45,,,2.49101,2461000.5
"  4660 Nereus (1982 DB)",APO,0.3588,1.485,1.45,313.11,159.54,49.82,661,0.00416,1.62,Y,18.75,0.33,0.55,15.1749,2461000.5
"  4688 (1980 WF)",AMO,0.5179,2.233,6.37,241.23,213.83,163.46,1.22e+03,0.108,42.1,N,19.60,0.6,0.18,,2461000.5
"  4769 Castalia (1989 PB)",APO,0.4832,1.063,8.89,325.50,121.45,323.77,400,0.0203,7.89,Y,17.40,1.4,0.092,4.095,2461000.5
"  4947 Ninkasi (1988 TJ1)",AMO,0.1684,1.37,15.65,215.42,192.96,30.36,586,0.15,58.2,N,18.09,,,21.1,2461000.5
"  4953 (1990 MU)",APO,0.6575,1.621,24.38,77.53,77.93,115.98,754,0.0245,9.52,Y,14.88,,,14.218,2461000.5
"  4954 Eric (1990 SQ)",AMO,0.4494,2.001,17.43,358.40,52.62,127.17,1.03e+03,0.194,75.6,N,12.56,10.8,0.176,12.056,2461000.5
"  4957 Brucemurray (1990 XJ)",AMO,0.2188,1.565,35.01,254.88,97.46,351.78,715,0.425,165,N,15.05,3.499,0.132,2.892,2461000.5
"  5011 Ptah (6743 P-L)",APO,0.5002,1.636,7.41,10.62,105.96,2.07,764,0.0241,9.38,Y,16.66,,,56.3,2461000.5
"  5131 (1990 BG)",APO,0.5689,1.486,36.45,110.33,135.88,215.72,662,0.276,107,N,14.83,,,37.2,2461000.5
"  5143 Heracles (1991 VL)",APO,0.7712,1.835,8.98,309.10,228.21,204.12,908,0.0575,22.4,N,14.06,4.843,0.227,2.7063,2461000.5
"  5189 (1990 UQ)",APO,0.4782,1.552,3.58,135.05,159.96,101.62,706,0.0448,17.5,Y,17.84,,,6.653,2461000.5
"  5324 Lyapunov (1987 SL)",AMO,0.6063,2.979,19.66,352.02,321.18,178.69,1.88e+03,0.223,86.9,N,15.35,,,,2461000.5
"  5332 Davidaguilar (1990 DA)",AMO,0.4556,2.163,25.52,142.76,306.09,103.48,1.16e+03,0.305,119,N,14.96,3.6,,5.803,2461000.5
"  5370 Taranis (1986 RA)",AMO,0.6370,3.318,19.17,177.78,161.28,156.07,2.21e+03,0.212,82.5,N,15.23,3.6,0.037,,2461000.5
"  5381 Sekhmet (1991 JY)",ATE,0.2964,0.9474,48.97,58.53,37.43,266.62,337,0.111,43.2,N,16.72,0.935,0.507,2.8233,2461000.5
"  5496 (1973 NA)",APO,0.6342,2.437,68.02,101.02,117.92,299.22,1.39e+03,0.0945,36.8,N,16.15,,,2.855,2461000.5
"  5587 (1990 SB)",AMO,0.5443,2.401,18.04,189.28,87.61,209.58,1.36e+03,0.31,121,N,13.89,3.57,0.32,5.0522,2461000.5
"  5590 (1990 VA)",ATE,0.2801,0.9863,14.18,216.25,34.49,68.33,358,0.121,47.3,N,19.91,,,,2461000.5
"  5604 (1992 FE)",ATE,0.4065,0.93,4.70,311.94,82.77,349.65,328,0.0336,13.1,Y,17.38,0.55,0.48,5.3375,2461000.5
"  5620 Jasonwheeler (1990 OA)",AMO,0.4227,2.159,7.87,128.64,153.74,56.42,1.16e+03,0.236,91.9,N,17.09,,,5.307,2461000.5
"  5626 Melissabrucker (1991 FE)",AMO,0.4545,2.195,3.85,173.08,231.90,321.24,1.19e+03,0.213,82.9,N,14.33,,,2.48611,2461000.5
"  5645 (1990 SP)",APO,0.3873,1.355,13.51,45.70,48.28,54.55,576,0.054,21,N,17.23,1.668,0.121,30.39,2461000.5
"  5646 (1990 TR)",AMO,0.4358,2.144,7.91,14.07,335.82,80.51,1.15e+03,0.211,82.3,N,15.51,4.3,0.223,3.1999,2461000.5
"  5653 Camarillo (1992 WD5)",AMO,0.3044,1.794,6.87,9.88,122.65,227.98,878,0.282,110,N,16.22,1.537,0.271,4.834,2461000.5
"  5660 (1974 MA)",APO,0.7620,1.786,38.14,302.11,127.06,163.32,871,0.162,63.2,N,15.38,,,17.5,2461000.5
"  5693 (1993 EA)",APO,0.5851,1.271,5.06,96.98,258.98,118.41,523,0.00586,2.28,Y,16.78,,,2.496,2461000.5
"  5731 Zeus (1988 VP4)",APO,0.6524,2.265,11.20,280.59,218.44,281.87,1.25e+03,0.0647,25.2,N,15.47,5.231,0.031,,2461000.5
"  5751 Zao (1992 AC)",AMO,0.4253,2.101,16.07,121.63,25.44,23.79,1.11e+03,0.24,93.4,N,14.94,2.3,0.36,76,2461000.5
"  5786 Talos (1991 RC)",APO,0.8268,1.082,23.22,161.28,8.39,268.09,411,0.189,73.4,N,17.15,,,23.6,2461000.5
"  5797 Bivoj (1980 AA)",AMO,0.4443,1.894,4.19,298.91,168.66,220.58,952,0.0698,27.2,N,18.89,0.4,,2.706,2461000.5
"  5828 (1991 AM)",APO,0.6949,1.698,30.18,125.34,152.87,235.61,808,0.399,155,N,15.96,1.457,0.331,2.6666,2461000.5
"  5836 (1993 MF)",AMO,0.5383,2.439,7.93,238.59,78.15,162.94,1.39e+03,0.18,69.9,N,14.99,2.754,0.156,4.9543,2461000.5
"  5863 Tara (1983 RB)",AMO,0.5073,2.221,19.51,168.68,115.72,285.95,1.21e+03,0.231,89.8,N,15.84,1.345,0.488,5.867,2461000.5
"  5869 Tanith (1988 VN4)",AMO,0.3214,1.812,17.92,227.84,230.86,34.00,891,0.31,121,N,17.22,,,17.519,2461000.5
"  5879 Almeria (1992 CH1)",AMO,0.2891,1.625,21.58,145.82,355.79,113.52,756,0.167,65.1,N,17.61,,,21.967,2461000.5
"  6037 (1988 EG)",APO,0.4996,1.272,3.51,182.15,242.36,164.67,524,0.0239,9.31,Y,18.86,,,2.7602,2461000.5
"  6047 (1991 TB1)",APO,0.3521,1.455,23.47,6.06,103.82,107.15,641,0.139,54.2,N,17.84,,,,2461000.5
"  6050 Miwablock (1992 AE)",AMO,0.4372,2.202,6.41,88.15,285.00,153.91,1.19e+03,0.268,104,N,14.94,2.884,0.257,5.7566,2461000.5
"  6053 (1993 BW3)",APO,0.5284,2.147,21.58,318.22,74.95,207.37,1.15e+03,0.222,86.5,N,15.10,3.720,0.140,2.573,2461000.5
"  6063 Jason (1984 KB)",APO,0.7625,2.22,4.96,169.01,337.63,219.06,1.21e+03,0.0763,29.7,N,16.02,1.4,0.21,48.6,2461000.5
"  6178 (1986 DA)",AMO,0.5848,2.814,4.31,64.48,127.47,138.36,1.72e+03,0.178,69.3,N,15.71,2.3,0.15,3.5002,2461000.5
"  6239 Minos (1989 QF)",APO,0.4125,1.151,3.94,344.48,239.78,183.78,451,0.0261,10.2,Y,18.59,,,3.5558,2461000.5
"  6455 (1992 HE)",APO,0.5729,2.24,37.34,26.89,262.74,347.71,1.22e+03,0.287,112,N,14.08,4.626,0.227,2.7361,2461000.5
"  6456 Golombek (1992 OM)",AMO,0.4088,2.193,8.22,313.56,347.16,96.46,1.19e+03,0.282,110,N,16.06,,,2.50129,2461000.5
"  6489 Golevka (1991 JX)",APO,0.6188,2.477,2.26,208.71,69.53,252.42,1.42e+03,0.0225,8.74,Y,19.22,0.53,0.151,6.026,2461000.5
"  6491 (1991 OA)",AMO,0.5921,2.504,6.15,299.98,326.21,240.15,1.45e+03,0.0373,14.5,Y,18.72,,,2.69,2461000.5
"  6569 Ondaatje (1993 MO)",AMO,0.2207,1.626,22.64,111.45,167.39,219.08,758,0.254,98.7,N,16.63,,,5.958,2461000.5
"  6611 (1993 VW)",APO,0.4845,1.696,8.70,230.76,281.61,133.51,807,0.0598,23.3,N,16.82,1.408,0.158,2.5568,2461000.5
"  7025 (1993 QA)",APO,0.3150,1.476,12.61,146.59,323.48,234.62,655,0.0622,24.2,N,18.08,0.498,0.340,2.5057,2461000.5
"  7088 Ishtar (1992 AA)",AMO,0.3903,1.981,8.30,102.61,354.78,53.18,1.02e+03,0.224,87.4,N,16.84,1.298,0.260,2.679,2461000.5
"  7092 Cadmus (1992 LC)",APO,0.6937,2.545,17.79,56.70,94.78,127.61,1.48e+03,0.101,39.1,N,15.12,6.319,0.046,,2461000.5
"  7236 (1987 PA)",AMO,0.5637,2.722,16.69,307.58,339.07,193.78,1.64e+03,0.186,72.5,N,18.32,,,,2461000.5
"  7335 (1989 JA)",APO,0.4845,1.773,15.16,61.26,232.34,156.19,862,0.0215,8.35,Y,17.70,1.8,0.448,2.58988,2461000.5
"  7336 Saunders (1989 RS1)",AMO,0.4820,2.306,7.20,174.42,181.55,118.35,1.28e+03,0.189,73.5,N,18.80,,,4.307,2461000.5
"  7341 (1991 VK)",APO,0.5061,1.842,5.41,294.72,173.51,195.60,913,0.0481,18.7,Y,16.96,0.982,0.235,4.2096,2461000.5
"  7350 (1993 VA)",APO,0.3912,1.356,7.26,133.04,336.71,73.44,577,0.0811,31.6,N,17.16,1.921,0.069,3.58264,2461000.5
"  7358 Oze (1995 YA3)",AMO,0.5024,2.198,4.66,265.41,92.28,112.71,1.19e+03,0.123,47.9,N,14.72,,,125.8,2461000.5
"  7474 (1992 TC)",AMO,0.2921,1.566,7.09,88.60,275.64,330.81,716,0.167,65.1,N,18.11,,,5.54,2461000.5
"  7480 Norwan (1994 PC)",AMO,0.3169,1.568,9.45,124.36,256.87,299.02,717,0.161,62.7,N,17.24,,,35.9,2461000.5
"  7482 (1994 PC1)",APO,0.3294,1.349,33.47,117.85,47.49,138.26,572,0.000726,0.282,Y,16.58,1.052,0.277,2.5999,2461000.5
"  7753 (1988 XB)",APO,0.4816,1.467,3.12,73.39,280.06,317.69,649,0.00658,2.56,Y,18.01,,,42.2,2461000.5
"  7822 (1991 CS)",APO,0.1646,1.123,37.12,156.84,249.46,153.76,434,0.0216,8.41,Y,17.34,1.602,0.075,2.3896,2461000.5
"  7839 (1994 ND)",AMO,0.5186,2.165,27.12,102.50,228.30,291.79,1.16e+03,0.135,52.4,N,17.83,0.784,0.181,,2461000.5
"  7888 (1993 UC)",APO,0.6632,2.439,26.08,165.87,323.04,127.65,1.39e+03,0.0869,33.8,N,15.19,2.298,0.257,2.337,2461000.5
"  7889 (1994 LX)",APO,0.3463,1.262,36.91,111.26,349.20,255.30,518,0.155,60.3,N,15.24,1.680,0.452,2.741,2461000.5
"  7977 (1977 QQ5)",AMO,0.4662,2.226,25.17,134.12,248.10,172.08,1.21e+03,0.355,138,N,15.15,,,7.456,2461000.5
"  8013 Gordonmoore (1990 KA)",AMO,0.4321,2.2,7.60,105.34,147.40,311.25,1.19e+03,0.244,94.8,N,17.09,2.3,,8.4,2461000.5
"  8014 (1990 MF)",APO,0.4560,1.748,1.87,209.82,114.77,102.14,844,0.0168,6.56,Y,18.88,0.7,,50.09,2461000.5
"  8034 Akka (1992 LR)",AMO,0.4091,1.831,2.02,232.79,68.30,164.13,905,0.073,28.4,N,18.02,,,7.283,2461000.5
"  8035 (1992 TB)",APO,0.4624,1.342,28.31,185.61,6.11,267.31,568,0.274,107,N,17.12,,,,2461000.5
"  8037 (1993 HO1)",AMO,0.4177,1.986,5.91,22.37,105.76,272.14,1.02e+03,0.2,78,N,16.63,,,12.98,2461000.5
"  8176 (1991 WA)",APO,0.6432,1.575,39.59,66.50,241.89,100.30,722,0.193,75,N,17.01,,,7.111,2461000.5
"  8201 (1994 AH2)",APO,0.7061,2.54,9.54,164.08,25.11,297.03,1.48e+03,0.101,39.3,N,15.94,1.859,0.154,23.949,2461000.5
"  8507 (1991 CB1)",APO,0.5948,1.687,14.60,317.36,345.84,189.19,801,0.22,85.8,N,17.21,,,,2461000.5
"  8566 (1996 EN)",APO,0.4304,1.506,37.98,164.09,125.16,303.34,675,0.0226,8.78,Y,16.47,1.568,0.217,4.845,2461000.5
"  8567 (1996 HW1)",AMO,0.4491,2.046,8.45,177.09,177.28,314.32,1.07e+03,0.122,47.3,N,15.36,2.928,0.156,8.7573,2461000.5
"  8709 Kadlu (1994 JF1)",AMO,0.4945,2.521,3.54,118.94,154.03,280.47,1.46e+03,0.258,101,N,17.07,,,50.6,2461000.5
"  9058 (1992 JB)",APO,0.3597,1.557,16.09,218.28,307.12,127.78,710,0.0837,32.6,N,17.81,,,,2461000.5
"  9162 Kwiila (1987 OA)",APO,0.5955,1.497,9.01,179.98,235.85,292.60,669,0.0806,31.4,N,18.01,1.127,0.088,15.13,2461000.5
"  9172 Abhramu (1989 OB)",AMO,0.5528,2.71,7.84,287.57,74.19,46.77,1.63e+03,0.252,97.9,N,16.64,,,,2461000.5
"  9202 (1993 PB)",APO,0.6078,1.424,40.80,315.89,212.36,97.11,621,0.374,145,N,16.10,1.617,0.332,,2461000.5
"  9400 (1994 TW1)",AMO,0.5807,2.588,35.98,3.35,62.17,145.88,1.52e+03,0.285,111,N,14.84,3.698,0.155,97.1,2461000.5
"  9856 (1991 EE)",APO,0.6258,2.243,9.83,168.10,116.20,72.00,1.23e+03,0.0222,8.63,Y,17.11,1.0,0.3,3.045,2461000.5
"  9950 ESA (1990 VB)",AMO,0.5329,2.439,14.59,253.44,103.60,74.58,1.39e+03,0.28,109,N,16.21,,,6.712,2461000.5
" 10115 (1992 SK)",APO,0.3249,1.249,15.32,8.87,233.74,7.08,510,0.0464,18.1,Y,17.10,0.938,0.318,7.319,2461000.5
" 10145 (1994 CK1)",APO,0.6326,1.9,4.55,328.37,27.44,138.92,957,0.063,24.5,N,17.00,,,49.2892,2461000.5
" 10150 (1994 PN)",AMO,0.5443,2.374,45.96,112.97,233.99,175.54,1.34e+03,0.223,86.9,N,15.45,,,2.965,2461000.5
" 10165 (1995 BL2)",APO,0.5039,1.235,23.90,312.42,348.47,19.09,501,0.376,147,N,17.36,0.829,0.372,,2461000.5
" 10302 (1989 ML)",AMO,0.1369,1.273,4.38,104.27,183.63,121.51,524,0.0805,31.3,N,19.45,,,19.2406,2461000.5
" 10563 Izhdubar (1993 WD)",APO,0.2662,1.007,63.47,56.56,132.19,137.07,369,0.145,56.4,N,16.94,,,,2461000.5
" 10636 (1998 QK56)",APO,0.5128,1.885,13.57,172.92,286.34,151.61,945,0.11,43,N,17.70,0.533,0.645,9.876,2461000.5
" 10860 (1995 LE)",AMO,0.5752,2.577,4.14,257.16,75.52,111.58,1.51e+03,0.11,43,N,17.02,,,,2461000.5
" 11054 (1991 FA)",AMO,0.4465,1.979,3.08,339.03,92.39,215.61,1.02e+03,0.123,47.9,N,17.07,,,2.57223,2461000.5
" 11066 Sigurd (1992 CC1)",APO,0.3754,1.392,36.88,349.22,22.02,315.33,600,0.119,46.3,N,15.17,2.104,0.190,8.4958,2461000.5
" 11284 Belenus (1990 BA)",AMO,0.3374,1.74,1.99,311.70,171.17,216.10,838,0.168,65.5,N,18.25,,,5.43,2461000.5
" 11311 Peleus (1993 XN2)",APO,0.5358,2.116,25.49,59.32,313.43,154.58,1.12e+03,0.0952,37.1,N,15.74,,,,2461000.5
" 11398 (1998 YP11)",AMO,0.3891,1.721,15.02,144.71,74.77,281.68,825,0.202,78.8,N,16.38,1.316,0.318,38.6,2461000.5
" 11405 (1999 CV3)",APO,0.3938,1.46,22.86,141.22,96.45,17.42,644,0.117,45.6,N,15.22,3.621,0.112,6.504,2461000.5
" 11500 Tomaiyowit (1989 UR)",APO,0.3558,1.08,10.31,234.38,289.52,314.93,410,0.0344,13.4,Y,18.36,0.738,0.142,73,2461000.5
" 11885 Summanus (1990 SS)",APO,0.4745,1.703,19.43,359.76,116.23,236.65,812,0.0664,25.8,N,18.52,1.298,0.033,7.368,2461000.5
" 12538 (1998 OH)",APO,0.4059,1.542,24.54,220.69,321.79,163.01,699,0.0302,11.8,Y,15.96,1.663,0.232,2.575,2461000.5
" 12711 Tukmit (1991 BB)",APO,0.2721,1.186,38.49,294.96,322.89,236.40,472,0.112,43.7,N,16.04,,,3.4848,2461000.5
