"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"       (2021 XO1)",APO,0.7884,2.357,24.60,66.24,160.43,355.64,1.32e+03,0.374,145,N,18.17,,,,2461000.5
"       (2021 XQ1)",APO,0.5868,1.154,7.76,247.15,67.22,45.24,453,0.00138,0.537,N,27.76,,,,2459551.5
"       (2021 XT1)",APO,0.3923,1.634,0.48,185.01,263.93,316.09,763,0.0125,4.85,N,28.60,,,,2461000.5
"       (2021 XU1)",APO,0.3220,1.415,13.38,243.43,132.39,29.42,615,0.042,16.4,N,25.03,,,,2459551.5
"       (2021 XV1)",APO,0.6821,2.142,5.70,249.30,263.53,346.18,1.14e+03,0.0123,4.77,N,22.92,,,,2459552.5
"       (2021 XW1)",APO,0.6382,1.979,4.21,96.63,256.47,19.10,1.02e+03,0.000277,0.108,N,23.60,,,,2459552.5
"       (2021 XX1)",APO,0.2433,1.057,7.35,253.06,82.69,300.63,397,0.018,6.99,N,27.82,,,,2461000.5
"       (2021 XY1)",AMO,0.1794,1.318,18.63,74.61,20.83,343.22,553,0.106,41.2,N,24.98,,,,2459553.5
"       (2021 XZ1)",AMO,0.3296,1.719,26.90,75.99,310.65,21.88,823,0.249,97,N,23.61,,,,2459552.5
"       (2021 XA2)",AMO,0.1628,1.343,30.77,68.85,349.11,6.44,569,0.141,54.9,N,23.94,,,,2459552.5
"       (2021 XB2)",ATE,0.5377,0.896,10.85,317.16,281.60,101.28,310,0.0869,33.8,N,22.02,,,,2461000.5
"       (2021 XC2)",APO,0.4657,1.689,3.39,74.22,41.58,274.91,802,0.00105,0.408,N,29.77,,,,2461000.5
"       (2021 XD2)",APO,0.2422,1.184,7.15,76.23,61.15,344.50,471,0.00754,2.93,N,27.30,,,,2461000.5
"       (2021 XE2)",APO,0.3828,1.462,1.24,232.28,147.22,110.11,646,0.00488,1.9,N,28.03,,,,2461000.5
"       (2021 XG2)",APO,0.4096,1.515,14.18,75.80,301.85,66.72,681,0.0334,13,Y,21.94,,,,2461000.5
